[32m[I 2023-04-26 02:21:21,189][39m Trial 87 finished with value: 0.6105263157894738 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,198][39m Trial 88 finished with value: 0.5263157894736843 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 8, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,206][39m Trial 89 finished with value: 0.6666666666666666 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,213][39m Trial 90 finished with value: 0.6391752577319588 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,222][39m Trial 91 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,228][39m Trial 92 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,236][39m Trial 93 finished with value: 0.6464646464646465 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,244][39m Trial 94 finished with value: 0.6938775510204082 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,251][39m Trial 95 finished with value: 0.6391752577319588 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,259][39m Trial 96 finished with value: 0.6666666666666666 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,266][39m Trial 97 finished with value: 0.6464646464646465 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,273][39m Trial 98 finished with value: 0.6391752577319588 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,303][39m Trial 99 finished with value: 0.6736842105263158 and parameters: {'algorithm': 'brute', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 31 with value: 0.6938775510204082.
[32m[I 2023-04-26 02:21:21,318][39m Trial 100 finished with value: 0.6262626262626262 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 31 with value: 0.6938775510204082.
