
[32m[I 2023-04-20 22:25:59,382][39m Trial 61 finished with value: 0.8807339449541284 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09286815693803482, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.11395604128818}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:00,906][39m Trial 62 finished with value: 0.8623853211009175 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09325104962849898, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.210820370471309}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:02,367][39m Trial 63 finished with value: 0.8347826086956522 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08978791438742995, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.460363381380974}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:03,581][39m Trial 64 finished with value: 0.8545454545454546 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09709364821666341, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.375284416283895}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:04,862][39m Trial 65 finished with value: 0.8275862068965517 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09973128647061846, 'depth': 3, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.943623855841642}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:06,382][39m Trial 66 finished with value: 0.8703703703703703 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09171758201617175, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.724899318038865}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:07,965][39m Trial 67 finished with value: 0.8275862068965517 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07660916237312786, 'depth': 4, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.949516548177733}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:09,650][39m Trial 68 finished with value: 0.8828828828828829 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08563064728407123, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.364854867587425}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:11,169][39m Trial 69 finished with value: 0.8703703703703703 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09597781734781519, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.396084912563959}. Best is trial 53 with value: 0.888888888888889.
[32m[I 2023-04-20 22:26:12,595][39m Trial 70 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08553613103915239, 'depth': 5, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.408796624732293}. Best is trial 53 with value: 0.888888888888889.
