[32m[I 2023-04-20 22:40:51,012][39m A new study created in memory with name: no-name-b280dc0f-abca-433f-9545-7124f84e8bda
[32m[I 2023-04-20 22:42:58,078][39m Trial 68 finished with value: 0.8043478260869564 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09006954658403306, 'depth': 3, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:43:01,446][39m Trial 69 finished with value: 0.8539325842696629 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0879016717166123, 'depth': 3, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.193527114907639}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:43:04,944][39m Trial 70 finished with value: 0.8666666666666666 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09316137667367992, 'depth': 2, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.4792313011047162}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:43:08,809][39m Trial 71 finished with value: 0.8409090909090909 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.09240324554288326, 'depth': 3, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.135464135349569}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:43:12,713][39m Trial 72 finished with value: 0.8131868131868132 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.08671056772344886, 'depth': 2, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.241249445757181}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:43:16,575][39m Trial 73 finished with value: 0.8409090909090909 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0932971163072489, 'depth': 4, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.004931544069663}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:43:20,404][39m Trial 74 finished with value: 0.8275862068965518 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.08864733548267154, 'depth': 2, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.549926738623447}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:43:24,402][39m Trial 75 finished with value: 0.8275862068965518 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.08993924807613146, 'depth': 3, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.1539906031259175}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:43:28,761][39m Trial 76 finished with value: 0.7816091954022988 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.08411339826140045, 'depth': 1, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.8994388082122575}. Best is trial 60 with value: 0.8666666666666666.
[32m[I 2023-04-20 22:43:32,823][39m Trial 77 finished with value: 0.8089887640449439 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.041975034893492184, 'depth': 3, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.591011985044166}. Best is trial 60 with value: 0.8666666666666666.
