[32m[I 2023-04-26 02:19:40,055][39m Trial 78 finished with value: 0.8235294117647058 and parameters: {'criterion': 'entropy', 'n_estimators': 178, 'max_features': 0.5333178879795264, 'max_depth': 47, 'min_samples_split': 3, 'min_samples_leaf': 4}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:40,206][39m Trial 79 finished with value: 0.8275862068965518 and parameters: {'criterion': 'gini', 'n_estimators': 140, 'max_features': 0.8076628133839169, 'max_depth': 32, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:40,346][39m Trial 80 finished with value: 0.8433734939759037 and parameters: {'criterion': 'entropy', 'n_estimators': 120, 'max_features': 0.5880896443850794, 'max_depth': 36, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:40,578][39m Trial 81 finished with value: 0.8148148148148149 and parameters: {'criterion': 'entropy', 'n_estimators': 174, 'max_features': 0.8418629464321191, 'max_depth': 54, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:40,801][39m Trial 82 finished with value: 0.8292682926829268 and parameters: {'criterion': 'entropy', 'n_estimators': 182, 'max_features': 0.7352552754550601, 'max_depth': 41, 'min_samples_split': 5, 'min_samples_leaf': 2}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:40,904][39m Trial 83 finished with value: 0.8148148148148149 and parameters: {'criterion': 'entropy', 'n_estimators': 91, 'max_features': 0.5881332844444005, 'max_depth': 35, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:41,025][39m Trial 84 finished with value: 0.8192771084337348 and parameters: {'criterion': 'entropy', 'n_estimators': 99, 'max_features': 0.6864075561213785, 'max_depth': 26, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:41,158][39m Trial 85 finished with value: 0.8275862068965518 and parameters: {'criterion': 'entropy', 'n_estimators': 117, 'max_features': 0.6281022885836398, 'max_depth': 36, 'min_samples_split': 5, 'min_samples_leaf': 5}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:41,287][39m Trial 86 finished with value: 0.8333333333333333 and parameters: {'criterion': 'entropy', 'n_estimators': 127, 'max_features': 0.4950839679739897, 'max_depth': 29, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:41,433][39m Trial 87 finished with value: 0.8470588235294119 and parameters: {'criterion': 'entropy', 'n_estimators': 121, 'max_features': 0.6667392029398626, 'max_depth': 43, 'min_samples_split': 3, 'min_samples_leaf': 3}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:41,573][39m Trial 88 finished with value: 0.8250000000000001 and parameters: {'criterion': 'entropy', 'n_estimators': 108, 'max_features': 0.7606659862694458, 'max_depth': 48, 'min_samples_split': 2, 'min_samples_leaf': 2}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:41,761][39m Trial 89 finished with value: 0.8 and parameters: {'criterion': 'entropy', 'n_estimators': 134, 'max_features': 0.8731633320966179, 'max_depth': 97, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:41,824][39m Trial 90 finished with value: 0.7555555555555555 and parameters: {'criterion': 'gini', 'n_estimators': 73, 'max_features': 0.2464089294861877, 'max_depth': 43, 'min_samples_split': 2, 'min_samples_leaf': 11}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:42,010][39m Trial 91 finished with value: 0.8292682926829268 and parameters: {'criterion': 'entropy', 'n_estimators': 164, 'max_features': 0.6501222349229929, 'max_depth': 45, 'min_samples_split': 3, 'min_samples_leaf': 2}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:42,085][39m Trial 92 finished with value: 0.8148148148148149 and parameters: {'criterion': 'entropy', 'n_estimators': 58, 'max_features': 0.588790172872652, 'max_depth': 40, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:42,287][39m Trial 93 finished with value: 0.8505747126436782 and parameters: {'criterion': 'entropy', 'n_estimators': 157, 'max_features': 0.9444435126335863, 'max_depth': 67, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 61 with value: 0.8604651162790697.
[32m[I 2023-04-26 02:19:42,501][39m Trial 94 finished with value: 0.8314606741573034 and parameters: {'criterion': 'entropy', 'n_estimators': 158, 'max_features': 0.9137026755036234, 'max_depth': 85, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 61 with value: 0.8604651162790697.
