[32m[I 2023-04-26 12:33:43,483][39m Trial 66 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,495][39m Trial 67 finished with value: 0.7037037037037037 and parameters: {'algorithm': 'auto', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,510][39m Trial 68 finished with value: 0.6491228070175439 and parameters: {'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'uniform', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,522][39m Trial 69 finished with value: 0.7130434782608696 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,531][39m Trial 70 finished with value: 0.709090909090909 and parameters: {'algorithm': 'auto', 'n_neighbors': 21, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,553][39m Trial 71 finished with value: 0.709090909090909 and parameters: {'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,580][39m Trial 72 finished with value: 0.709090909090909 and parameters: {'algorithm': 'brute', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,593][39m Trial 73 finished with value: 0.7079646017699116 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,606][39m Trial 74 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,633][39m Trial 75 finished with value: 0.7027027027027026 and parameters: {'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,646][39m Trial 76 finished with value: 0.7130434782608696 and parameters: {'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,658][39m Trial 77 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,671][39m Trial 78 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,683][39m Trial 79 finished with value: 0.7079646017699116 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,698][39m Trial 80 finished with value: 0.5686274509803921 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 14, 'weights': 'uniform', 'metric': 'euclidean'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,711][39m Trial 81 finished with value: 0.7079646017699116 and parameters: {'algorithm': 'auto', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,723][39m Trial 82 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,731][39m Trial 83 finished with value: 0.709090909090909 and parameters: {'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,738][39m Trial 84 finished with value: 0.7130434782608696 and parameters: {'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,744][39m Trial 85 finished with value: 0.7130434782608696 and parameters: {'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,750][39m Trial 86 finished with value: 0.6972477064220184 and parameters: {'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,758][39m Trial 87 finished with value: 0.6972477064220184 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,764][39m Trial 88 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,788][39m Trial 89 finished with value: 0.6846846846846846 and parameters: {'algorithm': 'brute', 'n_neighbors': 30, 'weights': 'distance', 'metric': 'euclidean'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,817][39m Trial 90 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'brute', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,843][39m Trial 91 finished with value: 0.709090909090909 and parameters: {'algorithm': 'brute', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,856][39m Trial 92 finished with value: 0.7037037037037037 and parameters: {'algorithm': 'auto', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,869][39m Trial 93 finished with value: 0.6902654867256638 and parameters: {'algorithm': 'auto', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,882][39m Trial 94 finished with value: 0.709090909090909 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,894][39m Trial 95 finished with value: 0.7017543859649122 and parameters: {'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,911][39m Trial 96 finished with value: 0.6728971962616822 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 3, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,923][39m Trial 97 finished with value: 0.7079646017699116 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,936][39m Trial 98 finished with value: 0.7079646017699116 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,947][39m Trial 99 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,968][39m Trial 100 finished with value: 0.709090909090909 and parameters: {'algorithm': 'brute', 'n_neighbors': 12, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:43,981][39m Trial 101 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'auto', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:44,007][39m Trial 102 finished with value: 0.7130434782608696 and parameters: {'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:44,019][39m Trial 103 finished with value: 0.6972477064220184 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:44,032][39m Trial 104 finished with value: 0.7130434782608696 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 1, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:44,056][39m Trial 105 finished with value: 0.7079646017699116 and parameters: {'algorithm': 'brute', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
[32m[I 2023-04-26 12:33:44,070][39m Trial 106 finished with value: 0.7207207207207208 and parameters: {'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 21 with value: 0.7207207207207208.
