
[32m[I 2023-04-25 23:57:49,001][39m Trial 58 finished with value: 0.8448275862068967 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.02686099700327179, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.1691482289880012}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:52,985][39m Trial 59 finished with value: 0.831858407079646 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05966394791625945, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:57:57,229][39m Trial 60 finished with value: 0.831858407079646 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06974378038937179, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4861858117406387}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:00,539][39m Trial 61 finished with value: 0.8448275862068967 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03346630097250016, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9787841101093564}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:05,006][39m Trial 62 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04243620716325868, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.23244353865304124}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:09,178][39m Trial 63 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03025898383790252, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.27637640220654036}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:12,670][39m Trial 64 finished with value: 0.8448275862068967 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.037578306484088005, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3176124645293833}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:17,416][39m Trial 65 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04777348461601234, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.24791406562334928}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:22,194][39m Trial 66 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.047480333040717936, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.27797006877607755}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:24,498][39m Trial 67 finished with value: 0.8288288288288289 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09561435512220705, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.379399445346221}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:28,388][39m Trial 68 finished with value: 0.8521739130434783 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05449478311856927, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.18356418043496947}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:32,794][39m Trial 69 finished with value: 0.831858407079646 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.042937064181529476, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4178372807461335}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:34,644][39m Trial 70 finished with value: 0.8275862068965517 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03921506221898526, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:38,442][39m Trial 71 finished with value: 0.8403361344537814 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03380276623356646, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.1402418021032767}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:41,649][39m Trial 72 finished with value: 0.8305084745762712 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.021835711217353147, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.23752506828496253}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:45,686][39m Trial 73 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.025607192369212002, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5298611732972927}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:50,185][39m Trial 74 finished with value: 0.8448275862068967 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.07791221255352276, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5323438396760656}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:53,507][39m Trial 75 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03201716248305844, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3859472971235911}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:58:58,081][39m Trial 76 finished with value: 0.8448275862068967 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04876990570695207, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.2698901297788074}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:59:02,559][39m Trial 77 finished with value: 0.8521739130434783 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0388655200436725, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4410155350456433}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:59:05,144][39m Trial 78 finished with value: 0.8448275862068967 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04213248515777939, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.31287984902524163}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:59:06,943][39m Trial 79 finished with value: 0.847457627118644 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.02897020376527759, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.42394745082451735}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:59:10,462][39m Trial 80 finished with value: 0.8448275862068967 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.04484809507836902, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.19662803608439092}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:59:14,856][39m Trial 81 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.03489096825338071, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.26365941129691184}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:59:18,798][39m Trial 82 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.035933934188503394, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3399094555033504}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:59:22,404][39m Trial 83 finished with value: 0.8547008547008546 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.035438620557353244, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.48056204225571253}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:59:27,148][39m Trial 84 finished with value: 0.8448275862068967 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0471961584043345, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.21496601678906507}. Best is trial 2 with value: 0.8672566371681416.
[32m[I 2023-04-25 23:59:32,525][39m Trial 85 finished with value: 0.8596491228070176 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.05196126640278989, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.28105936478034965}. Best is trial 2 with value: 0.8672566371681416.
