[32m[I 2023-04-26 00:20:35,934][39m Trial 96 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,942][39m Trial 97 finished with value: 0.831858407079646 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,952][39m Trial 98 finished with value: 0.8148148148148148 and parameters: {'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,959][39m Trial 99 finished with value: 0.831858407079646 and parameters: {'algorithm': 'auto', 'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,967][39m Trial 100 finished with value: 0.831858407079646 and parameters: {'algorithm': 'auto', 'n_neighbors': 13, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,974][39m Trial 101 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,981][39m Trial 102 finished with value: 0.8181818181818181 and parameters: {'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,989][39m Trial 103 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:35,997][39m Trial 104 finished with value: 0.831858407079646 and parameters: {'algorithm': 'auto', 'n_neighbors': 9, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:36,005][39m Trial 105 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:36,012][39m Trial 106 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:36,019][39m Trial 107 finished with value: 0.8148148148148148 and parameters: {'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'distance', 'metric': 'minkowski'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:36,027][39m Trial 108 finished with value: 0.8275862068965517 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:36,035][39m Trial 109 finished with value: 0.831858407079646 and parameters: {'algorithm': 'ball_tree', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:36,043][39m Trial 110 finished with value: 0.8545454545454546 and parameters: {'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'uniform', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:36,050][39m Trial 111 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:36,058][39m Trial 112 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'auto', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:36,084][39m Trial 113 finished with value: 0.8571428571428572 and parameters: {'algorithm': 'brute', 'n_neighbors': 6, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:36,117][39m Trial 114 finished with value: 0.831858407079646 and parameters: {'algorithm': 'brute', 'n_neighbors': 4, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
[32m[I 2023-04-26 00:20:36,151][39m Trial 115 finished with value: 0.8173913043478261 and parameters: {'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance', 'metric': 'manhattan'}. Best is trial 1 with value: 0.8571428571428572.
