[32m[I 2023-04-26 13:01:06,031][39m A new study created in memory with name: no-name-ef779f35-aa5f-4ca8-8cd5-80751089e0e7
[32m[I 2023-04-26 13:02:59,612][39m Trial 61 finished with value: 0.7526881720430108 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06305134339494875, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.622934571496343}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:01,162][39m Trial 62 finished with value: 0.7311827956989247 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06959876755409529, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.028810935241182}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:02,642][39m Trial 63 finished with value: 0.7526881720430108 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07350192643850578, 'depth': 3, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.733878904138605}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:03,965][39m Trial 64 finished with value: 0.6915887850467289 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06255522280485426, 'depth': 1, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.590895529912618}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:05,453][39m Trial 65 finished with value: 0.7526881720430108 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06708307750683698, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.890252851067993}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:07,069][39m Trial 66 finished with value: 0.7526881720430108 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0796826414153207, 'depth': 3, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.1064714768700714}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:10,868][39m Trial 67 finished with value: 0.7333333333333334 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08279298134632834, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3579304391121827}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:12,243][39m Trial 68 finished with value: 0.7291666666666666 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.03853365424798946, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:13,572][39m Trial 69 finished with value: 0.7499999999999999 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05392789712177654, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.496932933823003}. Best is trial 28 with value: 0.7789473684210526.
[32m[I 2023-04-26 13:03:15,226][39m Trial 70 finished with value: 0.7333333333333334 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.0676345665288929, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.084854522986613}. Best is trial 28 with value: 0.7789473684210526.
