
[32m[I 2023-04-26 11:23:11,493][39m Trial 64 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09723341300243991, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.271480496399203}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:23:18,690][39m Trial 65 finished with value: 0.8545454545454546 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09219411566695197, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.261288119209741}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:23:23,406][39m Trial 66 finished with value: 0.8620689655172413 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07441736258640959, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.9107092882391195}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:23:34,872][39m Trial 67 finished with value: 0.8571428571428572 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.08738878605192536, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.7415682345472066}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:23:37,387][39m Trial 68 finished with value: 0.8392857142857144 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0962448165120944, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7646581932079322}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:23:41,538][39m Trial 69 finished with value: 0.8695652173913043 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05997981315278178, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.704455663562225}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:23:44,087][39m Trial 70 finished with value: 0.8448275862068967 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05208298575495316, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS'}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:23:48,286][39m Trial 71 finished with value: 0.8495575221238938 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.05847837752391233, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.788324268414732}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:23:52,809][39m Trial 72 finished with value: 0.8495575221238938 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06148217178109852, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 4.20103322962204}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:23:57,508][39m Trial 73 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06426990696682022, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.365094176219641}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:24:02,906][39m Trial 74 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08219214722773328, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 7.831455313231439}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:24:06,488][39m Trial 75 finished with value: 0.831858407079646 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08998820794194909, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.49763815668706535}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:24:08,129][39m Trial 76 finished with value: 0.8596491228070176 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06712645003883973, 'depth': 3, 'boosting_type': 'Plain', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 3.7116747774321177}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:24:13,847][39m Trial 77 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.078207313071624, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 6.573143954818007}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:24:17,998][39m Trial 78 finished with value: 0.8521739130434783 and parameters: {'objective': 'Logloss', 'colsample_bylevel': 0.051459315001059436, 'depth': 12, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.049036281014263}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:24:25,473][39m Trial 79 finished with value: 0.8648648648648648 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08519022723743465, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.344753747026692}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:24:29,608][39m Trial 80 finished with value: 0.8495575221238938 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.060860648052224374, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 5.820924638571557}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:24:35,211][39m Trial 81 finished with value: 0.8468468468468469 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08373256914746559, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 8.713291202742127}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:24:41,411][39m Trial 82 finished with value: 0.875 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07917475196942736, 'depth': 10, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.728043706557603}. Best is trial 21 with value: 0.8771929824561403.
[32m[I 2023-04-26 11:24:46,378][39m Trial 83 finished with value: 0.875 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07313766075923114, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.761719839740428}. Best is trial 21 with value: 0.8771929824561403.
