
[32m[I 2023-04-26 14:25:39,624][39m Trial 65 finished with value: 0.8292682926829268 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09965469189856112, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.23719813064852863}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:42,708][39m Trial 66 finished with value: 0.8433734939759037 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08162549314470156, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5207787547777731}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:45,848][39m Trial 67 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08726082685512677, 'depth': 10, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.30365388481340816}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:49,932][39m Trial 68 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07755655724451901, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS'}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:56,674][39m Trial 69 finished with value: 0.8275862068965518 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.07258774674428262, 'depth': 11, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3469545117032129}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:25:58,995][39m Trial 70 finished with value: 0.8470588235294119 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.06789078546106772, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6773490972093872}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:26:03,046][39m Trial 71 finished with value: 0.8292682926829268 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.0933111318680754, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.1000887347547783}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:26:08,054][39m Trial 72 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09759548204916293, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.4075295396291531}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:26:13,142][39m Trial 73 finished with value: 0.8536585365853658 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.09432721036179706, 'depth': 12, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.37395664157561725}. Best is trial 24 with value: 0.8837209302325582.
[32m[I 2023-04-26 14:26:16,533][39m Trial 74 finished with value: 0.8571428571428572 and parameters: {'objective': 'CrossEntropy', 'colsample_bylevel': 0.08490189972799189, 'depth': 11, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.30305535894245417}. Best is trial 24 with value: 0.8837209302325582.
